X	Y

18279,265281368971040	69033,815815916619620



18325,817618463486720	69055,507537673984190



18329,506671591730990	69081,608145967402380



18283,481342086965020	69098,538270265838940



18287,697402804958980	69145,801533932302840



18293,670155488784080	68986,250938837634750



12420,930922803856450	69561,369161530426940



12236,928046086743050	69624,453319216307140



12224,806871522510850	69606,288706687773810



12191,429724171726780	69627,627717522264000



12174,038473710001200	69662,722454349219340



12536,696923352104930	69852,606188811914760



12383,864722324828110	70005,455276371794760



12381,756691965831120	69983,058132768652280



12340,045864481011450	70017,094736826955340



12906,459368752162840	70101,392647396249230



12972,686655863983100	70115,148373388728940



10183,791330053014462	70540,062840443279130



11533,141230087623630	70455,412218951110840



10704,629284514519900	69645,263263666463900



10007,517897985557283	70085,520655866464950



11206,670634941634490	70134,018407763025600



11772,128565335240640	70526,836180835118280



11647,579104957838350	70307,324728850173420



10211,547063113141121	70603,146998129159330



10378,334358565112780	69706,987675171170850



10007,166559592391422	70115,501084311617890



10383,428765266022310	70581,631631833224680



11290,464841711762350	69779,998836208164000



10204,520295249818446	70577,222745297185610



11516,803994805397450	70356,175191669608460



10384,482780445519893	70566,112351226329340



12116,693087729287070	70253,536313110351330



11299,599639934083820	69992,404972225078380



10495,681381882608548	70021,679978824453430



9728,829324310165248	70557,345675664590090



9643,805433163954149	69862,834805575548670



11141,321693812729790	70137,192806068982460



11246,547542565993350	69806,224702452673230



11202,103235830474660	69801,992171378064080



11283,613743045023510	69810,457233527267820



11257,087694360978280	69791,939910075860100



11222,129524240945100	69750,194763224470080



11218,440471112700830	69783,702300898454270



11146,416100513639320	69681,592488723516000



11278,870674737279840	69629,567627598124090



10864,038473710001200	69460,141126662696480



10428,048741198124844	69417,992171378064080



10486,897922053454749	69391,942660594999320



10392,387894291759949	69408,821687383067910



10393,968917061007232	69349,088283464589040



10388,698841163513862	69315,580745790604850



10367,091529983796136	69583,237238749235980



10561,107550906144750	69574,948532061462180



10399,766000548248485	71033,881195411289810



10393,441909471257532	71008,309653502205040



11595,756691965831120	70235,371700581818000



11671,821454086302760	70088,518698710977340



11689,388373744612180	70082,169902099063620



11596,810707145328710	70169,289500051425420



12299,114941677153180	70126,964189305348560



12192,835077744392040	69656,197302275861150



11396,821933539155000	69211,934831973063410



11353,431641983135700	69242,569584753611700



11508,547542565993350	69123,228034867715900



11448,293008137998190	69093,247606422577520



