X	Y

11749,421300673971930	59814,826344638444420



11750,299387118457160	59743,570739292314100



11505,685498719274620	59594,113720449597160



11721,498151739326200	59651,953281945294300



11851,630562812109930	59643,479991092390260



11583,835192278504110	60140,280675571666500



13237,300619292240300	59828,948496059943860



13187,776543823245450	59848,896034942823460



13128,614512499445480	59765,460073995651330



13165,142908590052680	59749,572653646457180



13246,432718314890740	59783,642343950836220



13250,647533248422400	59816,238559780591460



13267,858027560343540	59793,351323053124360



13079,968523474937680	59732,449545047878930



13091,734881831045640	59719,916135661289440



13126,155870454886100	59684,787284000296500



13143,015130189010960	59554,042115791075050



13276,638892005199520	59578,402826993173220



13235,895680981062470	59656,189927371749940



13082,427165519497070	59415,529764300030360



13003,223768226886020	59419,060302155405220



13098,232721520240380	59485,549681396776580



13162,157414678800700	59262,834002055002200



13384,643524676943340	59327,442844808385420



13372,525931743040930	59274,484776977740700



13366,203709342742510	59598,879946554356140



13338,631794985891250	59624,415086673361660



13381,131178899000590	59574,342708459495040



13213,416668002228110	59555,983911611532680



13210,255556802079810	59527,739608768526520



13232,910187069812310	59737,039244259867700



13430,634259333457520	60429,309207262042040



13405,717599344599880	60446,432315860620290



13367,784264942816660	60447,138423431693810



13365,325622898257280	60464,261532030272060



13346,183338408469350	60443,960939361859340



13409,581179700337090	60507,687147651398840



13386,048462988121170	60516,513492289843270



13385,170376543634120	60534,519235352257960



13362,340128987005300	60546,346537167773930



13472,958025957668720	60519,867503252447930



13304,913275517639700	60498,507749227421300



13397,639204055330990	60600,832087700859120



13452,410803156702970	60591,299635491341180



13334,241362763463260	60751,939107910970050



13356,544758453399480	60780,122151421506720



13258,023459382102370	60944,998269267583960



13666,663895611218320	60492,329307980515300



13527,926237382474940	60438,312078793256660



13612,222536053102880	60384,294849605998020



13381,658030765691360	60340,047858853497020



13577,099078273675330	59648,069690304379040



13659,287969477538350	59503,731951351961470



13545,312348983292400	59392,757795132849420



13310,006176895656610	59447,772926344245200



13300,698460584108030	59483,784412469089150



13391,141364366138080	59489,433273037691840



13526,170064493502650	59417,648087013258190



13624,866980853697900	59470,015314833115560



13658,585500321949440	59452,186098663471060



13500,529940314519990	59259,126937306857140



13528,101854671371260	59284,193756080028840



13478,577779202376400	59240,768140458894780



13463,825926935016470	59257,891249057473040



13529,682410271445410	59230,882634463843720



13571,479325028965830	59213,820785197742220



13795,194756049388160	59308,907521067660120



13768,500928137022130	59357,099362793553160



13780,442903782028220	59293,020100718465980



13864,563585163759850	59435,062990064892800



13880,193523875606840	59469,662261047582440



13859,646301074641090	59467,367411441584410



13833,128090451171370	59459,247174374220780



13814,337040539177910	59467,720465227124800



13734,606791379874270	59456,775797875459830



13725,825926935016470	59461,718550872981720



13715,640124178982660	59560,750137716291640



13806,434262538805340	59607,000183621727040



13865,617288897143230	59547,863674544169040



13744,441359558113620	59582,286418634088480



13787,116360760119280	59662,015314833115560



13748,129322624954510	59676,137466254622270



13737,943519868920700	59682,668961287068670



13711,249691956554670	59677,196627611236180



13842,787041340514410	59735,273975332180270



13874,398153342001020	59824,005743062421970



13752,870989425176960	59820,475205207039840



13732,499383913109340	59826,124065775642520



13810,297842894542560	59926,744394653869680



13751,817285691793590	60121,215771152637900



13778,862348181954080	60174,173838983282620



13768,149693559229490	60155,815042135327530



13842,787041340514410	60243,664175401718240



13725,123457779429370	60199,355925316747740



13713,357099423319600	60199,708979102288140



14049,291978049017420	60809,778669406667180



14008,900001602674820	60528,870374783655280



14059,126546227256770	60277,204285027793960



14071,595373738953640	60250,725251112475240



13906,711734499074740	60259,022015072609060



